pid,name,exe
1,systemd,/sbin/init
2,init-systemd(Ub,/init
61,systemd-journald,/lib/systemd/systemd-journald
85,systemd-udevd,/lib/systemd/systemd-udevd
140,systemd-resolved,/lib/systemd/systemd-resolved
143,systemd-timesyncd,/lib/systemd/systemd-timesyncd
225,cron,/usr/sbin/cron
232,networkd-dispat,/usr/bin/python3
234,rsyslogd,/usr/sbin/rsyslogd
236,snapd,/usr/lib/snapd/snapd
237,systemd-logind,/lib/systemd/systemd-logind
266,subiquity-serve,/bin/bash
296,agetty,/sbin/agetty
300,agetty,/sbin/agetty
314,unattended-upgr,/usr/bin/python3
321,apache2,/usr/sbin/apache2
365,mysqld,/usr/sbin/mysqld
484,python3.10,/snap/ubuntu-desktop-installer/1286/usr/bin/python3.10
551,SessionLeader,/init
552,Relay(553),/init
553,bash,/usr/bin/bash
554,login,/bin/login
769,systemd,/usr/lib/systemd/systemd
775,fluidsynth,/usr/bin/fluidsynth
776,bash,/usr/bin/bash
7725,packagekitd,/usr/libexec/packagekitd
7729,polkitd,/usr/libexec/polkitd
39023,uuidd,/usr/sbin/uuidd
59617,SessionLeader,/init
59618,Relay(59619),/init
59619,sh,/usr/bin/dash
59620,sh,/usr/bin/dash
59625,sh,/usr/bin/dash
59629,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
59640,SessionLeader,/init
59641,Relay(59642),/init
59642,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
59649,SessionLeader,/init
59650,Relay(59651),/init
59651,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
59658,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
59673,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
59888,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
59924,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
59934,SessionLeader,/init
59935,Relay(59936),/init
59936,sh,/usr/bin/dash
59937,sh,/usr/bin/dash
59947,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
60235,pet,/home/apoorva/.vscode-server/extensions/ms-python.python-2025.10.1-linux-x64/python-env-tools/bin/pet
60409,sh,/usr/bin/dash
60456,bash,/usr/bin/bash
60692,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
62568,node,/home/apoorva/.vscode-server/bin/488a1f239235055e34e673291fb8d8c810886f81/node
77487,bash,/usr/bin/bash
80808,apache2,/usr/sbin/apache2
80809,apache2,/usr/sbin/apache2
80810,apache2,/usr/sbin/apache2
80811,apache2,/usr/sbin/apache2
80812,apache2,/usr/sbin/apache2
81259,python3,/usr/bin/python3.10
81442,systemd-udevd,/lib/systemd/systemd-udevd
81443,systemd-udevd,/lib/systemd/systemd-udevd
